"Date","Time","Transaction ID","Receipt No.","Source","Cashier","Payment Type","Total","Cost","Profit","Email Recipient","Customer","Email Address","Mobile Number","Notes","Delivery Address","Park Tag"
"4 Mar 2024","9:28am","1709515717","3258","In-Store","CJ Banao","Cash","15","0","15","","","","","","",""
"4 Mar 2024","8:42am","1709512977","3257","In-Store","CJ Banao","Credit","131.6","70.85","60.75","","","","","Charge to cj banao","",""
"4 Mar 2024","8:26am","1709511975","3256","In-Store","CJ Banao","Cash","196.7","178.49999999999997","18.200000000000017","","","","","","",""
"4 Mar 2024","7:54am","1709510044","3255","In-Store","CJ Banao","Cash","56","36.4","19.6","","","","","","",""
"4 Mar 2024","7:34am","1709508869","3254","In-Store","CJ Banao","Cash","99","0","99","","","","","","",""
"4 Mar 2024","7:15am","1709507700","3253","In-Store","CJ Banao","Cash","74","0","74","","","","","","",""
"4 Mar 2024","7:14am","1709507688","3252","In-Store","CJ Banao","Cash","396","0","396","","","","","","",""
"4 Mar 2024","7:13am","1709507636","3251","In-Store","CJ Banao","Cash","15","0","15","","","","","","",""
"4 Mar 2024","7:13am","1709507628","3250","In-Store","CJ Banao","Cash","575.7","393.9","181.80000000000007","","","","","","",""
"4 Mar 2024","7:08am","1709507322","3249","In-Store","CJ Banao","Cash","20","0","20","","","","","","",""
"3 Mar 2024","6:33pm","1709462027","3248","In-Store","CJ Banao","Cash","99","0","99","","","","","","",""
"3 Mar 2024","6:18pm","1709461129","3247","In-Store","CJ Banao","Cash","19","0","19","","","","","","",""
"3 Mar 2024","6:18pm","1709461119","3246","In-Store","CJ Banao","Cash","99","0","99","","","","","","",""
"3 Mar 2024","6:10pm","1709460601","3245","In-Store","CJ Banao","Cash","62.3","57.849999999999994","4.450000000000003","","","","","","",""
"3 Mar 2024","5:46pm","1709459209","3244","In-Store","CJ Banao","Cash","83.3","0","83.3","","","","","","",""
"3 Mar 2024","5:37pm","1709458636","3243","In-Store","CJ Banao","Cash","71","36.4","34.6","","","","","","",""
"3 Mar 2024","5:36pm","1709458619","3242","In-Store","CJ Banao","Cash","99","0","99","","","","","","",""
"3 Mar 2024","5:01pm","1709456477","3241","In-Store","CJ Banao","Cash","165","107.25","57.75","","","","","","",""
"3 Mar 2024","4:48pm","1709455722","3240","In-Store","CJ Banao","Cash","544","343.85","200.14999999999998","","","","","","",""
"3 Mar 2024","4:25pm","1709454321","3239","In-Store","CJ Banao","Cash","99","0","99","","","","","","",""
"3 Mar 2024","4:21pm","1709454062","3238","In-Store","CJ Banao","Cash","114.8","116.1","-1.2999999999999972","","","","","","",""
"3 Mar 2024","4:12pm","1709453558","3237","In-Store","CJ Banao","Cash","147","0","147","","","","","","",""
"3 Mar 2024","4:12pm","1709453546","3236","In-Store","CJ Banao","Cash","147","0","147","","","","","","",""
"3 Mar 2024","4:03pm","1709453037","3235","In-Store","CJ Banao","Cash","99","0","99","","","","","","",""
"3 Mar 2024","3:38pm","1709451513","3234","In-Store","CJ Banao","Cash","25","0","25","","","","","","",""
"3 Mar 2024","3:36pm","1709451361","3233","In-Store","CJ Banao","Cash","99","0","99","","","","","","",""
"3 Mar 2024","3:35pm","1709451348","3232","In-Store","CJ Banao","Cash","147","0","147","","","","","","",""
"3 Mar 2024","3:35pm","1709451331","3231","In-Store","CJ Banao","Cash","579","376.35","202.64999999999998","","","","","","",""
"3 Mar 2024","3:16pm","1709450195","3230","In-Store","CJ Banao","Cash","147","0","147","","","","","","",""
