"Date","Time","Transaction ID","Receipt No.","Total","Total Cost","Payment Type","Category","Item","Option","Modifier","Quantity","Price per Unit","Discounted Price","Inclusive VAT","Cost","Refunded","Refund Reason","Item Note","% Item Discount","Item Discount Amount","% Total Discount","Total Discount Amount","VAT Exemption","Service %","Service Amount","Cashier","Note","Customer","Customer Phone","Customer Delivery Address","Park Tag","Type"
"29 Feb 2024","6:39pm","1709203179","3073","55.3","39","Cash","BW LOAVES","LOAF | JUMBO","JUMBO PROMO","","1","79","55.3","0","39","","","1day","30","23.7","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:20pm","1709202051","3072","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:15pm","1709201713","3071","272.3","252.85","Cash","BW CHILLED CAKES","4 in 1 ROLL CAKE","","","1","389","272.3","0","252.85","","","1 day","30","116.7","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:11pm","1709201510","3070","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:08pm","1709201333","3069","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:06pm","1709201205","3068","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:03pm","1709200982","3067","60","39","Cash","BW LOAVES","LOAF | UBE","","","1","60","60","0","39","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","6:02pm","1709200969","3066","28","18.2","Cash","BW PASTRIES","EGG PIE","","","1","28","28","0","18.2","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","5:54pm","1709200442","3065","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","5:49pm","1709200177","3064","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","5:43pm","1709199801","3063","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","5:41pm","1709199703","3062","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","5:33pm","1709199199","3061","56","45.5","Cash","BW PASALUBONG","TOASTED BREAD","","","2","35","56","0","22.75","","","Promo","20","14","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","5:20pm","1709198434","3060","111.9","79.94999999999999","Cash","BW LOAVES","LOAF | RAISINS","","","1","37","25.9","0","24.05","","","1day before","30","11.1","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","5:20pm","1709198434","3060","","","Cash","BW PASTRIES","ORIGINAL BROWNIES","","","2","26","52","0","16.9","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","5:20pm","1709198434","3060","","","Cash","BW DELICACIES","HOPIA PASTILLAS","","","1","34","34","0","22.1","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","4:50pm","1709196643","3059","187","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","4:50pm","1709196643","3059","","","Cash","BW SPREADS","CHIZ WHIZ | SACHET","","","1","88","88","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","4:32pm","1709195522","3058","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","4:26pm","1709195182","3057","28","18.2","Cash","BW PASTRIES","EGG PIE","","","1","28","28","0","18.2","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","4:24pm","1709195096","3056","55","35.75","Cash","BW LOAVES","LOAF | WHOLE WHEAT","","","1","55","55","0","35.75","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","3:52pm","1709193174","3055","38","0","Cash","BW BREADS","GOLDEN CUP MINI","","","2","19","38","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","3:43pm","1709192638","3054","35","16.25","Cash","BW BREADS","PANDESAL | PLAIN","","","1","35","35","0","16.25","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","3:43pm","1709192628","3053","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","Promo","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","3:37pm","1709192247","3052","25","0","Cash","BW BEVERAGES","MINE SHINE GREEN TEA","","","1","25","25","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","3:33pm","1709192037","3051","147","0","Credit","BW PROMOS","TRIO UBE","","","1","172","147","0","0","","","Trio ube charge to Justin Marcelo atd#:42960","14.534883720930234","25","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","3:27pm","1709191653","3050","52.25","35.75","Cash","BW LOAVES","LOAF | WHOLE WHEAT","","","1","55","52.25","0","35.75","","","3011718-R","5","2.75","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","3:26pm","1709191594","3049","147","0","Cash","BW PROMOS","TRIO UBE","","","1","172","147","0","0","","","Promo","14.534883720930234","25","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","3:04pm","1709190254","3048","198","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","2","130","198","0","0","","","Promo","23.846153846153847","62","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:42pm","1709188957","3047","274.3","252.85","Cash","BW CHILLED CAKES","HEAVENLY CARAMEL | 7R","","","1","389","272.3","0","252.85","","","1day before","30","116.7","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:42pm","1709188957","3047","","","Cash","BW CANDLES","CANDLE | PINK SM","","","1","2","2","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:37pm","1709188647","3046","469","298.35","Cash","BW CHILLED CAKES","FAMOUS MOCHA | 8x11","","","1","459","459","0","298.35","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:37pm","1709188647","3046","","","Cash","BW CANDLES","CANDLE | PINK SM","","","1","2","0","0","0","","","","100","2","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:37pm","1709188647","3046","","","Cash","BW ACCESSORIES","CROWNED No*  4","","","1","10","10","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:36pm","1709188617","3045","147","0","Cash","BW PROMOS","TRIO UBE","","","1","172","147","0","0","","","","14.534883720930234","25","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:22pm","1709187772","3044","297","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","3","130","297","0","0","","","","23.846153846153847","93","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:17pm","1709187438","3043","30","0","Cash","BW BEVERAGES","BOTTLED WATER","","","2","15","30","0","0","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:09pm","1709186941","3042","56","45.5","Cash","BW PASALUBONG","TOASTED BREAD","","","2","35","56","0","22.75","","","","20","14","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","2:08pm","1709186928","3041","99","0","Cash","BW PROMOS","PULLMAN BUNDLE","","","1","130","99","0","0","","","","23.846153846153847","31","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","1:22pm","1709184141","3040","147","0","Cash","BW PROMOS","TRIO UBE","","","1","172","147","0","0","","","Promo","14.534883720930234","25","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","1:03pm","1709182983","3039","80.9","59.8","Cash","BW BREADS","PANDESAL | WHEAT","","","1","55","55","0","35.75","","","","","0","","0","0","","0","Justin Marcelo","","","","","",""
"29 Feb 2024","1:03pm","1709182983","3039","","","Cash","BW LOAVES","LOAF | RAISINS","","","1","37","25.9","0","24.05","","","1day before","30","11.1","","0","0","","0","Justin Marcelo","","","","","",""
